The Romanticizer has unrealistic expectations of relationships. The Maximizer has unrealistic expectations of their partner. The Hesitater has unrealistic expectations of themselves.,How to Not Die Alone,Logan Ury
"The Romanticizer has unrealistic expectations of relationships. They want the soul mate, the happily ever after—the whole fairy tale. The Maximizer has unrealistic expectations of their partner. They love to explore their options and want to feel absolutely confident they’re making the right decision. The Hesitater has unrealistic expectations of themselves. They feel like they’re not ready to date.",How to Not Die Alone,Logan Ury
"In animated Disney movies, people fall in love without even knowing each other. In The Little Mermaid, all Prince Eric knew about Ariel was that she was an attractive redhead with the upper-body strength to pull him safely to shore when his boat capsized. And he loved her for that? In Cinderella, the heroine falls for the prince because he can dance and makes an effort to return lost items to their rightful owner. Seems a little shallow, if you ask me.",How to Not Die Alone,Logan Ury
"You should interview 37 percent of the candidates and then pause. Identify the best person from this first group. Now you have a meaningful benchmark. After evaluating the first 37 percent, you should be prepared to hire the first candidate who is better than the standout from the first group. This logic applies to dating, too. Apply the rule of 37 percent to that time period. In the book Algorithms to Live By, authors Brian Christian and Tom Griffiths discuss a single man who wants to get married. Assuming that his search would run from ages eighteen to forty, the 37% rule gave age 26.1 as the point at which to switch from looking to leaping."" Now it's your turn. To determine your dating window,  count the number of years from when you started dating to when you'd like to enter a long-term relationship. Now, what's 37 percent of that number? Add that to the age when you started dating. That's your 37 percent mark.""",How to Not Die Alone,Logan Ury
"While we instinctively prefer reversible decisions to irreversible ones, this flexibility often make us less happy in the long run. We’d rather be able to change our minds—return our new phone, switch our flight to a different day, reply maybe"" to an event. But it turns out, just like the students who could switch their pictures, we’re less committed to choices we think we can reverse, and commitment is crucial for happiness.""",How to Not Die Alone,Logan Ury
"If you’re not going on dates, you’re not getting closer to knowing the kind of person you want to be with long term. You need to practice asking interesting questions, expressing yourself in a compelling way, and going in for a first kiss. Those are your reps. And you can’t work on any of these skills if you’re sitting around by yourself, preparing."" The only way to get better at it is to actually date. Once you’ve set the deadline, start doing the pre-dating work. Download the apps. Assemble a few solid date outfits. Consider going to an improv class to learn how to listen carefully and play well with others. Pay attention the next time you’re having dinner with a friend: How much are you focusing inward (How am I coming across?) versus really listening and being curious (What is this person trying to communicate?)?""",How to Not Die Alone,Logan Ury
"Some babies showed signs of distress as soon as their mother left. When she returned, these babies would be temporarily soothed and stop crying but then angrily push the mother away and begin crying again. Ainsworth called these babies anxiously attached."" Another group of babies cried when their mother left but stopped as soon as she returned. They quickly resumed playing. These were the ""securely attached"" babies. A third group did not respond to their mother leaving the room; nor did they acknowledge her when she returned. They pretended they weren’t bothered by the situation, but the researchers could tell from their elevated heart rate and stress levels that these babies were just as upset as the ones who cried. These were the ""avoidantly attached"" babies.""",How to Not Die Alone,Logan Ury
"Those are the securely attached babies, who felt confident their mothers would meet their needs. People with a secure attachment style make ideal partners. They’re reliable and trustworthy. They tend to avoid drama and, if not, are able to defuse it when they see it coming. They’re flexible, forgiving, and good at communicating. They behave consistently. They create healthy boundaries. They’re comfortable with intimacy. People with secure-attachment styles end up reporting higher levels of relationship satisfaction than avoidant or anxious folks.""""",How to Not Die Alone,Logan Ury
"You may be anxiously attached if you crave a lot of closeness but are insecure about your relationship’s future and your partner’s interest in you. You may be avoidantly attached if you feel uncomfortable with intimacy and value independence over connection. You may be securely attached if you are comfortable with intimacy, spending time alone, and drawing clear boundaries.",How to Not Die Alone,Logan Ury
"When we’re younger and we enter a relationship, it’s like a start-up—two people coming together to build something. We’re more flexible and still figuring out what we want. When we’re older and thinking about long-term relationships and, eventually, marriage, the process is more like a merger: two complete beings coming together. The older we get, the more set in our ways we are, and the more we crave someone who will easily fit into our lives. We assume that the more similar we are, the easier the merger will be. But that assumption is wrong.",How to Not Die Alone,Logan Ury
